Observations;phase;Behaviors;Subjects;Modifiers;dyad;totnb
C8F-formalin;formalin;approach;female3;male1;salinesaline;12.5
C9F-formalin;formalin;approach;female3;male1;salinesaline;13.5
C10F-formalin;formalin;approach;female4;male1;salinesaline;16
C7F-formalin;formalin;approach;female4;male1;salinesaline;13.5
C8F-formalin;formalin;approach;female4;male1;salinesaline;21
C9F-formalin;formalin;approach;female4;male1;salinesaline;9
C10F-formalin;formalin;approach;male1;female4;salinesaline;16.5
C7F-formalin;formalin;approach;male1;female4;salinesaline;4
C8F-formalin;formalin;approach;male1;female4;salinesaline;13.5
C9F-formalin;formalin;approach;male1;female4;salinesaline;6
C10-baseline;baseline;disputesfood;female1;female2;formalinformalin;0
C7F-baseline;baseline;disputesfood;female1;female2;formalinformalin;0
C8F-baseline;baseline;disputesfood;female1;female2;formalinformalin;0
C9F-baseline;baseline;disputesfood;female1;female2;formalinformalin;8
C10-baseline;baseline;disputesfood;female2;female1;formalinformalin;0
C7F-baseline;baseline;disputesfood;female2;female1;formalinformalin;0
C8F-baseline;baseline;disputesfood;female2;female1;formalinformalin;1
C9F-baseline;baseline;disputesfood;female2;female1;formalinformalin;0
C10-baseline;baseline;disputesfood;female1;male1;formalinsaline;3.666666667
C7F-baseline;baseline;disputesfood;female1;male1;formalinsaline;0
C8F-baseline;baseline;disputesfood;female1;male1;formalinsaline;0
C9F-baseline;baseline;disputesfood;female1;male1;formalinsaline;1.666666667
C10-baseline;baseline;disputesfood;female2;male1;formalinsaline;0
C7F-baseline;baseline;disputesfood;female2;male1;formalinsaline;0.333333333
C8F-baseline;baseline;disputesfood;female2;male1;formalinsaline;0.666666667
C9F-baseline;baseline;disputesfood;female2;male1;formalinsaline;1.333333333
C10-baseline;baseline;disputesfood;female3;female2;salineformalin;1.5
C7F-baseline;baseline;disputesfood;female3;female2;salineformalin;0.5
C8F-baseline;baseline;disputesfood;female3;female2;salineformalin;5
C9F-baseline;baseline;disputesfood;female3;female2;salineformalin;0
C10-baseline;baseline;disputesfood;female4;female2;salineformalin;0
C7F-baseline;baseline;disputesfood;female4;female2;salineformalin;0.5
C8F-baseline;baseline;disputesfood;female4;female2;salineformalin;1.5
C9F-baseline;baseline;disputesfood;female4;female2;salineformalin;1.5
C10-baseline;baseline;disputesfood;male1;female2;salineformalin;1.5
C7F-baseline;baseline;disputesfood;male1;female2;salineformalin;0.5
C8F-baseline;baseline;disputesfood;male1;female2;salineformalin;2
C9F-baseline;baseline;disputesfood;male1;female2;salineformalin;0
C10-baseline;baseline;disputesfood;female3;male1;salinesaline;1.5
C7F-baseline;baseline;disputesfood;female3;male1;salinesaline;0
C8F-baseline;baseline;disputesfood;female3;male1;salinesaline;0.5
C9F-baseline;baseline;disputesfood;female3;male1;salinesaline;0.5
C10-baseline;baseline;disputesfood;female4;male1;salinesaline;0.5
C7F-baseline;baseline;disputesfood;female4;male1;salinesaline;0
C8F-baseline;baseline;disputesfood;female4;male1;salinesaline;0
C9F-baseline;baseline;disputesfood;female4;male1;salinesaline;0
C10-baseline;baseline;disputesfood;male1;female4;salinesaline;0.5
C7F-baseline;baseline;disputesfood;male1;female4;salinesaline;0.5
C8F-baseline;baseline;disputesfood;male1;female4;salinesaline;1.5
C9F-baseline;baseline;disputesfood;male1;female4;salinesaline;1
C10F-formalin;formalin;disputesfood;female1;female2;formalinformalin;0
C7F-formalin;formalin;disputesfood;female1;female2;formalinformalin;0
C8F-formalin;formalin;disputesfood;female1;female2;formalinformalin;0
C9F-formalin;formalin;disputesfood;female1;female2;formalinformalin;0
C10F-formalin;formalin;disputesfood;female2;female1;formalinformalin;0
C7F-formalin;formalin;disputesfood;female2;female1;formalinformalin;0
C8F-formalin;formalin;disputesfood;female2;female1;formalinformalin;0
C9F-formalin;formalin;disputesfood;female2;female1;formalinformalin;0
C10F-formalin;formalin;disputesfood;female1;male1;formalinsaline;0
C7F-formalin;formalin;disputesfood;female1;male1;formalinsaline;0
C8F-formalin;formalin;disputesfood;female1;male1;formalinsaline;0
C9F-formalin;formalin;disputesfood;female1;male1;formalinsaline;0
C10F-formalin;formalin;disputesfood;female2;male1;formalinsaline;0
C7F-formalin;formalin;disputesfood;female2;male1;formalinsaline;0
C8F-formalin;formalin;disputesfood;female2;male1;formalinsaline;1
C9F-formalin;formalin;disputesfood;female2;male1;formalinsaline;0
C10F-formalin;formalin;disputesfood;female3;female2;salineformalin;0
C7F-formalin;formalin;disputesfood;female3;female2;salineformalin;0.5
C8F-formalin;formalin;disputesfood;female3;female2;salineformalin;2
C9F-formalin;formalin;disputesfood;female3;female2;salineformalin;0
C10F-formalin;formalin;disputesfood;female4;female2;salineformalin;0
C7F-formalin;formalin;disputesfood;female4;female2;salineformalin;0
C8F-formalin;formalin;disputesfood;female4;female2;salineformalin;1
C9F-formalin;formalin;disputesfood;female4;female2;salineformalin;0
C10F-formalin;formalin;disputesfood;male1;female2;salineformalin;0
C7F-formalin;formalin;disputesfood;male1;female2;salineformalin;0
C8F-formalin;formalin;disputesfood;male1;female2;salineformalin;1
C9F-formalin;formalin;disputesfood;male1;female2;salineformalin;0
C10F-formalin;formalin;disputesfood;female3;male1;salinesaline;22
C7F-formalin;formalin;disputesfood;female3;male1;salinesaline;2
C8F-formalin;formalin;disputesfood;female3;male1;salinesaline;0.5
C9F-formalin;formalin;disputesfood;female3;male1;salinesaline;1
C10F-formalin;formalin;disputesfood;female4;male1;salinesaline;15.5
C7F-formalin;formalin;disputesfood;female4;male1;salinesaline;2
C8F-formalin;formalin;disputesfood;female4;male1;salinesaline;0
C9F-formalin;formalin;disputesfood;female4;male1;salinesaline;0
C10F-formalin;formalin;disputesfood;male1;female4;salinesaline;8
C7F-formalin;formalin;disputesfood;male1;female4;salinesaline;1
C8F-formalin;formalin;disputesfood;male1;female4;salinesaline;1
C9F-formalin;formalin;disputesfood;male1;female4;salinesaline;0
C10-baseline;baseline;escape;female1;female2;formalinformalin;0
C7F-baseline;baseline;escape;female1;female2;formalinformalin;1
C8F-baseline;baseline;escape;female1;female2;formalinformalin;1
C9F-baseline;baseline;escape;female1;female2;formalinformalin;2
C10-baseline;baseline;escape;female2;female1;formalinformalin;0
C7F-baseline;baseline;escape;female2;female1;formalinformalin;3
C8F-baseline;baseline;escape;female2;female1;formalinformalin;1
C9F-baseline;baseline;escape;female2;female1;formalinformalin;2
C10-baseline;baseline;escape;female1;male1;formalinsaline;0.666666667
C7F-baseline;baseline;escape;female1;male1;formalinsaline;0.333333333
C8F-baseline;baseline;escape;female1;male1;formalinsaline;1.333333333
C9F-baseline;baseline;escape;female1;male1;formalinsaline;3.333333333
C10-baseline;baseline;escape;female2;male1;formalinsaline;0.333333333
C7F-baseline;baseline;escape;female2;male1;formalinsaline;0
C8F-baseline;baseline;escape;female2;male1;formalinsaline;1.333333333
C9F-baseline;baseline;escape;female2;male1;formalinsaline;0
C10-baseline;baseline;escape;female3;female2;salineformalin;0
C7F-baseline;baseline;escape;female3;female2;salineformalin;0
C8F-baseline;baseline;escape;female3;female2;salineformalin;0
C9F-baseline;baseline;escape;female3;female2;salineformalin;3.5
C10-baseline;baseline;escape;female4;female2;salineformalin;1.5
C7F-baseline;baseline;escape;female4;female2;salineformalin;0
C8F-baseline;baseline;escape;female4;female2;salineformalin;1.5
C9F-baseline;baseline;escape;female4;female2;salineformalin;0.5
C10-baseline;baseline;escape;male1;female2;salineformalin;1.5
C7F-baseline;baseline;escape;male1;female2;salineformalin;1
C8F-baseline;baseline;escape;male1;female2;salineformalin;1.5
C9F-baseline;baseline;escape;male1;female2;salineformalin;1.5
C10-baseline;baseline;escape;female3;male1;salinesaline;0
C7F-baseline;baseline;escape;female3;male1;salinesaline;0.5
C8F-baseline;baseline;escape;female3;male1;salinesaline;0.5
C9F-baseline;baseline;escape;female3;male1;salinesaline;4
C10-baseline;baseline;escape;female4;male1;salinesaline;2.5
C7F-baseline;baseline;escape;female4;male1;salinesaline;0
C8F-baseline;baseline;escape;female4;male1;salinesaline;0.5
C9F-baseline;baseline;escape;female4;male1;salinesaline;1
C10-baseline;baseline;escape;male1;female4;salinesaline;0.5
C7F-baseline;baseline;escape;male1;female4;salinesaline;1
C8F-baseline;baseline;escape;male1;female4;salinesaline;0.5
C9F-baseline;baseline;escape;male1;female4;salinesaline;0.5
C10F-formalin;formalin;escape;female1;female2;formalinformalin;0
C7F-formalin;formalin;escape;female1;female2;formalinformalin;0
C8F-formalin;formalin;escape;female1;female2;formalinformalin;1
C9F-formalin;formalin;escape;female1;female2;formalinformalin;2
C10F-formalin;formalin;escape;female2;female1;formalinformalin;0
C7F-formalin;formalin;escape;female2;female1;formalinformalin;2
C8F-formalin;formalin;escape;female2;female1;formalinformalin;0
C9F-formalin;formalin;escape;female2;female1;formalinformalin;0
C10F-formalin;formalin;escape;female1;male1;formalinsaline;0.666666667
C7F-formalin;formalin;escape;female1;male1;formalinsaline;0
C8F-formalin;formalin;escape;female1;male1;formalinsaline;2.333333333
C9F-formalin;formalin;escape;female1;male1;formalinsaline;0
C10F-formalin;formalin;escape;female2;male1;formalinsaline;0
C7F-formalin;formalin;escape;female2;male1;formalinsaline;0.666666667
C8F-formalin;formalin;escape;female2;male1;formalinsaline;3
C9F-formalin;formalin;escape;female2;male1;formalinsaline;2
C10F-formalin;formalin;escape;female3;female2;salineformalin;0
C7F-formalin;formalin;escape;female3;female2;salineformalin;0.5
C8F-formalin;formalin;escape;female3;female2;salineformalin;1
C9F-formalin;formalin;escape;female3;female2;salineformalin;0.5
C10F-formalin;formalin;escape;female4;female2;salineformalin;0.5
C7F-formalin;formalin;escape;female4;female2;salineformalin;0
C8F-formalin;formalin;escape;female4;female2;salineformalin;0
C9F-formalin;formalin;escape;female4;female2;salineformalin;1
C10F-formalin;formalin;escape;male1;female2;salineformalin;0.5
C7F-formalin;formalin;escape;male1;female2;salineformalin;0
C8F-formalin;formalin;escape;male1;female2;salineformalin;0.5
C9F-formalin;formalin;escape;male1;female2;salineformalin;0
C10F-formalin;formalin;escape;female3;male1;salinesaline;1.5
C7F-formalin;formalin;escape;female3;male1;salinesaline;2.5
C8F-formalin;formalin;escape;female3;male1;salinesaline;2
C9F-formalin;formalin;escape;female3;male1;salinesaline;0.5
C10F-formalin;formalin;escape;female4;male1;salinesaline;3.5
C7F-formalin;formalin;escape;female4;male1;salinesaline;0.5
C8F-formalin;formalin;escape;female4;male1;salinesaline;1
C9F-formalin;formalin;escape;female4;male1;salinesaline;2
C10F-formalin;formalin;escape;male1;female4;salinesaline;3
C7F-formalin;formalin;escape;male1;female4;salinesaline;3
C8F-formalin;formalin;escape;male1;female4;salinesaline;2
C9F-formalin;formalin;escape;male1;female4;salinesaline;1.5
C10-baseline;baseline;noseoff;female1;female2;formalinformalin;0
C7F-baseline;baseline;noseoff;female1;female2;formalinformalin;3
C8F-baseline;baseline;noseoff;female1;female2;formalinformalin;0
C9F-baseline;baseline;noseoff;female1;female2;formalinformalin;1
C10-baseline;baseline;noseoff;female2;female1;formalinformalin;0
C7F-baseline;baseline;noseoff;female2;female1;formalinformalin;3
C8F-baseline;baseline;noseoff;female2;female1;formalinformalin;1
C9F-baseline;baseline;noseoff;female2;female1;formalinformalin;0
C10-baseline;baseline;noseoff;female1;male1;formalinsaline;0.333333333
C7F-baseline;baseline;noseoff;female1;male1;formalinsaline;0.666666667
C8F-baseline;baseline;noseoff;female1;male1;formalinsaline;2
C9F-baseline;baseline;noseoff;female1;male1;formalinsaline;2
C10-baseline;baseline;noseoff;female2;male1;formalinsaline;0.333333333
C7F-baseline;baseline;noseoff;female2;male1;formalinsaline;1
C8F-baseline;baseline;noseoff;female2;male1;formalinsaline;5.333333333
C9F-baseline;baseline;noseoff;female2;male1;formalinsaline;2
C10-baseline;baseline;noseoff;female3;female2;salineformalin;2.5
C7F-baseline;baseline;noseoff;female3;female2;salineformalin;0.5
C8F-baseline;baseline;noseoff;female3;female2;salineformalin;2.5
C9F-baseline;baseline;noseoff;female3;female2;salineformalin;3.5
C10-baseline;baseline;noseoff;female4;female2;salineformalin;0
C7F-baseline;baseline;noseoff;female4;female2;salineformalin;0
C8F-baseline;baseline;noseoff;female4;female2;salineformalin;1
C9F-baseline;baseline;noseoff;female4;female2;salineformalin;0.5
C10-baseline;baseline;noseoff;male1;female2;salineformalin;1.5
C7F-baseline;baseline;noseoff;male1;female2;salineformalin;0.5
C8F-baseline;baseline;noseoff;male1;female2;salineformalin;5
C9F-baseline;baseline;noseoff;male1;female2;salineformalin;1.5
C10-baseline;baseline;noseoff;female3;male1;salinesaline;0.5
C7F-baseline;baseline;noseoff;female3;male1;salinesaline;0
C8F-baseline;baseline;noseoff;female3;male1;salinesaline;1.5
C9F-baseline;baseline;noseoff;female3;male1;salinesaline;1.5
C10-baseline;baseline;noseoff;female4;male1;salinesaline;1.5
C7F-baseline;baseline;noseoff;female4;male1;salinesaline;0.5
C8F-baseline;baseline;noseoff;female4;male1;salinesaline;1.5
C9F-baseline;baseline;noseoff;female4;male1;salinesaline;1
C10-baseline;baseline;noseoff;male1;female4;salinesaline;0.5
C7F-baseline;baseline;noseoff;male1;female4;salinesaline;0
C8F-baseline;baseline;noseoff;male1;female4;salinesaline;2
C9F-baseline;baseline;noseoff;male1;female4;salinesaline;2
C10F-formalin;formalin;noseoff;female1;female2;formalinformalin;0
C7F-formalin;formalin;noseoff;female1;female2;formalinformalin;0
C8F-formalin;formalin;noseoff;female1;female2;formalinformalin;0
C9F-formalin;formalin;noseoff;female1;female2;formalinformalin;1
C10F-formalin;formalin;noseoff;female2;female1;formalinformalin;0
C7F-formalin;formalin;noseoff;female2;female1;formalinformalin;0
C8F-formalin;formalin;noseoff;female2;female1;formalinformalin;0
C9F-formalin;formalin;noseoff;female2;female1;formalinformalin;0
C10F-formalin;formalin;noseoff;female1;male1;formalinsaline;0.333333333
C7F-formalin;formalin;noseoff;female1;male1;formalinsaline;0
C8F-formalin;formalin;noseoff;female1;male1;formalinsaline;1.333333333
C9F-formalin;formalin;noseoff;female1;male1;formalinsaline;0.333333333
C10F-formalin;formalin;noseoff;female2;male1;formalinsaline;0
C7F-formalin;formalin;noseoff;female2;male1;formalinsaline;1
C8F-formalin;formalin;noseoff;female2;male1;formalinsaline;3.666666667
C9F-formalin;formalin;noseoff;female2;male1;formalinsaline;0.666666667
C10F-formalin;formalin;noseoff;female3;female2;salineformalin;0
C7F-formalin;formalin;noseoff;female3;female2;salineformalin;0
C8F-formalin;formalin;noseoff;female3;female2;salineformalin;1.5
C9F-formalin;formalin;noseoff;female3;female2;salineformalin;0
C10F-formalin;formalin;noseoff;female4;female2;salineformalin;1
C7F-formalin;formalin;noseoff;female4;female2;salineformalin;0
C8F-formalin;formalin;noseoff;female4;female2;salineformalin;0.5
C9F-formalin;formalin;noseoff;female4;female2;salineformalin;0
C10F-formalin;formalin;noseoff;male1;female2;salineformalin;1
C7F-formalin;formalin;noseoff;male1;female2;salineformalin;0.5
C8F-formalin;formalin;noseoff;male1;female2;salineformalin;1.5
C9F-formalin;formalin;noseoff;male1;female2;salineformalin;0
C10F-formalin;formalin;noseoff;female3;male1;salinesaline;0.5
C7F-formalin;formalin;noseoff;female3;male1;salinesaline;1.5
C8F-formalin;formalin;noseoff;female3;male1;salinesaline;2.5
C9F-formalin;formalin;noseoff;female3;male1;salinesaline;3
C10F-formalin;formalin;noseoff;female4;male1;salinesaline;2.5
C7F-formalin;formalin;noseoff;female4;male1;salinesaline;1
C8F-formalin;formalin;noseoff;female4;male1;salinesaline;0.5
C9F-formalin;formalin;noseoff;female4;male1;salinesaline;1
C10F-formalin;formalin;noseoff;male1;female4;salinesaline;1.5
C7F-formalin;formalin;noseoff;male1;female4;salinesaline;1
C8F-formalin;formalin;noseoff;male1;female4;salinesaline;1.5
C9F-formalin;formalin;noseoff;male1;female4;salinesaline;2.5
C10-baseline;baseline;restingduo;female1;female2;formalinformalin;0
C7F-baseline;baseline;restingduo;female1;female2;formalinformalin;0
C8F-baseline;baseline;restingduo;female1;female2;formalinformalin;121.867
C9F-baseline;baseline;restingduo;female1;female2;formalinformalin;0
C10-baseline;baseline;restingduo;female2;female1;formalinformalin;0
C7F-baseline;baseline;restingduo;female2;female1;formalinformalin;0
C8F-baseline;baseline;restingduo;female2;female1;formalinformalin;96.5332
C9F-baseline;baseline;restingduo;female2;female1;formalinformalin;1.53337
C10-baseline;baseline;restingduo;female1;male1;formalinsaline;15.38886667
C7F-baseline;baseline;restingduo;female1;male1;formalinsaline;21.0333
C8F-baseline;baseline;restingduo;female1;male1;formalinsaline;0
C9F-baseline;baseline;restingduo;female1;male1;formalinsaline;0
C10-baseline;baseline;restingduo;female2;male1;formalinsaline;0
C7F-baseline;baseline;restingduo;female2;male1;formalinsaline;0
C8F-baseline;baseline;restingduo;female2;male1;formalinsaline;0
C9F-baseline;baseline;restingduo;female2;male1;formalinsaline;26.334
C10-baseline;baseline;restingduo;female3;female2;salineformalin;10.35
C7F-baseline;baseline;restingduo;female3;female2;salineformalin;0
C8F-baseline;baseline;restingduo;female3;female2;salineformalin;0
C9F-baseline;baseline;restingduo;female3;female2;salineformalin;11.43365
C10-baseline;baseline;restingduo;female4;female2;salineformalin;18.4333
C7F-baseline;baseline;restingduo;female4;female2;salineformalin;0
C8F-baseline;baseline;restingduo;female4;female2;salineformalin;5.83335
C9F-baseline;baseline;restingduo;female4;female2;salineformalin;10.50025
C10-baseline;baseline;restingduo;male1;female2;salineformalin;0
C7F-baseline;baseline;restingduo;male1;female2;salineformalin;14.9
C8F-baseline;baseline;restingduo;male1;female2;salineformalin;0
C9F-baseline;baseline;restingduo;male1;female2;salineformalin;18.2338
C10-baseline;baseline;restingduo;female3;male1;salinesaline;57.09995
C7F-baseline;baseline;restingduo;female3;male1;salinesaline;0
C8F-baseline;baseline;restingduo;female3;male1;salinesaline;1.78333
C9F-baseline;baseline;restingduo;female3;male1;salinesaline;0
C10-baseline;baseline;restingduo;female4;male1;salinesaline;33.7333
C7F-baseline;baseline;restingduo;female4;male1;salinesaline;0
C8F-baseline;baseline;restingduo;female4;male1;salinesaline;0
C9F-baseline;baseline;restingduo;female4;male1;salinesaline;0
C10-baseline;baseline;restingduo;male1;female4;salinesaline;0
C7F-baseline;baseline;restingduo;male1;female4;salinesaline;0
C8F-baseline;baseline;restingduo;male1;female4;salinesaline;0
C9F-baseline;baseline;restingduo;male1;female4;salinesaline;0
C10F-formalin;formalin;restingduo;female1;female2;formalinformalin;0
C7F-formalin;formalin;restingduo;female1;female2;formalinformalin;7.89999
C8F-formalin;formalin;restingduo;female1;female2;formalinformalin;0
C9F-formalin;formalin;restingduo;female1;female2;formalinformalin;115.867
C10F-formalin;formalin;restingduo;female2;female1;formalinformalin;0
C7F-formalin;formalin;restingduo;female2;female1;formalinformalin;79.5999
C8F-formalin;formalin;restingduo;female2;female1;formalinformalin;11.4333
C9F-formalin;formalin;restingduo;female2;female1;formalinformalin;92.6332
C10F-formalin;formalin;restingduo;female1;male1;formalinsaline;5.644433333
C7F-formalin;formalin;restingduo;female1;male1;formalinsaline;0
C8F-formalin;formalin;restingduo;female1;male1;formalinsaline;24.17775333
C9F-formalin;formalin;restingduo;female1;male1;formalinsaline;0
C10F-formalin;formalin;restingduo;female2;male1;formalinsaline;0
C7F-formalin;formalin;restingduo;female2;male1;formalinsaline;31.3444
C8F-formalin;formalin;restingduo;female2;male1;formalinsaline;22.1222
C9F-formalin;formalin;restingduo;female2;male1;formalinsaline;68.6331
C10F-formalin;formalin;restingduo;female3;female2;salineformalin;0
C7F-formalin;formalin;restingduo;female3;female2;salineformalin;0
C8F-formalin;formalin;restingduo;female3;female2;salineformalin;1.116665
C9F-formalin;formalin;restingduo;female3;female2;salineformalin;0
C10F-formalin;formalin;restingduo;female4;female2;salineformalin;16.3833
C7F-formalin;formalin;restingduo;female4;female2;salineformalin;0
C8F-formalin;formalin;restingduo;female4;female2;salineformalin;0
C9F-formalin;formalin;restingduo;female4;female2;salineformalin;31.29995
C10F-formalin;formalin;restingduo;male1;female2;salineformalin;0
C7F-formalin;formalin;restingduo;male1;female2;salineformalin;181.6165
C8F-formalin;formalin;restingduo;male1;female2;salineformalin;0.88333
C9F-formalin;formalin;restingduo;male1;female2;salineformalin;0
C10F-formalin;formalin;restingduo;female3;male1;salinesaline;10.08333
C7F-formalin;formalin;restingduo;female3;male1;salinesaline;7.7
C8F-formalin;formalin;restingduo;female3;male1;salinesaline;25.26665
C9F-formalin;formalin;restingduo;female3;male1;salinesaline;0
C10F-formalin;formalin;restingduo;female4;male1;salinesaline;80.1
C7F-formalin;formalin;restingduo;female4;male1;salinesaline;0
C8F-formalin;formalin;restingduo;female4;male1;salinesaline;6.56665
C9F-formalin;formalin;restingduo;female4;male1;salinesaline;18.2333
C10F-formalin;formalin;restingduo;male1;female4;salinesaline;8.66668
C7F-formalin;formalin;restingduo;male1;female4;salinesaline;0
C8F-formalin;formalin;restingduo;male1;female4;salinesaline;19.1333
C9F-formalin;formalin;restingduo;male1;female4;salinesaline;56.08325
